,participant,cost,likelihood
748,50,cost_700,39.0
749,50,cost_800,46.0
750,50,cost_900,48.0
751,50,cost_1000,45.0
752,50,cost_1100,51.0
753,50,cost_1200,49.0
754,50,cost_1300,50.0
755,50,cost_1400,49.0
756,50,cost_1500,49.0
757,50,cost_1600,49.0
758,50,cost_1700,50.0
759,50,cost_1800,51.0
760,50,cost_1900,47.0
761,50,cost_2000,49.0
762,50,cost_2200,38.0
763,50,cost_2300,50.0
764,50,cost_2600,47.0
765,50,cost_2700,46.0
766,50,cost_2900,51.0
767,50,cost_3000,22.0
768,51,cost_0,100.0
769,51,cost_25,100.0
770,51,cost_50,100.0
771,51,cost_100,100.0
772,51,cost_200,41.0
773,51,cost_300,27.0
774,51,cost_400,11.0
775,51,cost_500,2.0
776,51,cost_600,0.0
777,53,cost_0,100.0
778,53,cost_25,100.0
779,53,cost_50,100.0
780,53,cost_100,100.0
781,53,cost_200,100.0
782,53,cost_300,100.0
783,53,cost_400,100.0
784,53,cost_500,100.0
785,53,cost_600,90.0
786,53,cost_700,80.0
787,53,cost_800,70.0
788,53,cost_900,60.0
789,53,cost_1000,50.0
790,53,cost_1100,40.0
791,53,cost_1200,40.0
792,53,cost_1300,40.0
793,53,cost_1400,40.0
794,53,cost_1500,40.0
795,53,cost_1600,40.0
796,53,cost_1700,40.0
797,53,cost_1800,40.0
798,53,cost_1900,40.0
799,53,cost_2000,40.0
800,53,cost_2100,40.0
801,53,cost_2200,40.0
802,53,cost_2300,40.0
803,53,cost_2400,40.0
804,53,cost_2500,40.0
805,53,cost_2600,0.0
806,54,cost_0,100.0
807,54,cost_25,100.0
808,54,cost_50,100.0
809,54,cost_100,100.0
810,54,cost_200,80.0
811,54,cost_300,80.0
812,54,cost_400,70.0
813,54,cost_1000,25.0
814,54,cost_1100,20.0
815,54,cost_1200,20.0
816,54,cost_1300,20.0
817,54,cost_1400,20.0
818,54,cost_1500,20.0
819,54,cost_1600,15.0
820,54,cost_1700,15.0
821,54,cost_1800,15.0
822,54,cost_1900,15.0
823,54,cost_2000,15.0
824,54,cost_2100,0.0
825,55,cost_0,80.0
826,55,cost_25,100.0
827,55,cost_50,100.0
